job_id,job_title,role_type,salary_min,salary_max,salary_avg,salary_range,rating,company_name,city,state,industry,sector,company_size,revenue,founded,type_of_ownership,easy_apply,has_sql,has_python,has_excel,has_tableau,has_powerbi,seniority
1563,"Business Analyst","Business Analyst",40000,77000,58500,37000,4.8,"Metasys Technologies, Inc. 4.8",Chicago,IL,"Staffing & Outsourcing","Business Services","201 to 500 employees","$25 to $50 million (USD)",2000,"Company - Private",-1,0,0,0,0,0,Mid-Level
1564,"Business Analyst","Business Analyst",40000,77000,58500,37000,3.7,"Pyramid Consulting, Inc 3.7","Oak Brook",IL,"Computer Hardware & Software","Information Technology","1001 to 5000 employees","$100 to $500 million (USD)",1996,"Company - Private",-1,0,0,0,0,0,Mid-Level
1565,"Business Intelligence Analyst","Business Analyst",40000,77000,58500,37000,4.1,"MDLIVE Inc 4.1",Chicago,IL,"Health Care Services & Hospitals","Health Care","201 to 500 employees","$50 to $100 million (USD)",2009,"Company - Private",-1,1,1,1,1,0,Mid-Level
1566,"Lead, Business System Analyst","Business Analyst",40000,77000,58500,37000,3.3,"CF Industries 3.3",Deerfield,IL,"Chemical Manufacturing",Manufacturing,"1001 to 5000 employees","$5 to $10 billion (USD)",1946,"Company - Public",-1,0,0,1,0,0,Senior
1567,"Analyst, Marketing- Consumer Information","Business Analyst",40000,77000,58500,37000,3.0,"Kraft Heinz Company 3.0",Glenview,IL,"Food & Beverage Manufacturing",Manufacturing,"10000+ employees","$10+ billion (USD)",2015,"Company - Public",-1,1,0,1,1,1,Mid-Level
1568,"Business Analyst","Business Analyst",40000,77000,58500,37000,3.2,"Wolters Kluwer 3.2",Deerfield,IL,Consulting,"Business Services","10000+ employees","$2 to $5 billion (USD)",1836,"Company - Public",-1,0,0,0,0,0,Mid-Level
1569,"Business Systems Analyst","Business Analyst",40000,77000,58500,37000,4.0,"University of Chicago 4.0",Chicago,IL,"Colleges & Universities",Education,"10000+ employees","$2 to $5 billion (USD)",1890,"College / University",-1,0,0,1,0,0,Mid-Level
1570,"Technical Business Analyst","Business Analyst",40000,77000,58500,37000,4.0,"SoftVision - North America 4.0",Chicago,IL,"IT Services","Information Technology","1001 to 5000 employees","$100 to $500 million (USD)",1994,"Company - Private",-1,1,0,1,0,0,Mid-Level
1571,"Senior Business Analyst","Business Analyst",40000,77000,58500,37000,3.9,"JPMorgan Chase 3.9",Chicago,IL,"Investment Banking & Asset Management",Finance,"10000+ employees","$10+ billion (USD)",1799,"Company - Public",-1,0,0,1,0,0,Senior
1572,"Data Security Analyst","Business Analyst",48000,107000,77500,59000,3.3,"Akima Management Services 3.3","San Antonio",TX,"Aerospace & Defense","Aerospace & Defense","5001 to 10000 employees","$1 to $2 billion (USD)",2003,"Company - Private",-1,0,0,1,0,0,Mid-Level
1573,"Business Analyst - IT","Business Analyst",40000,77000,58500,37000,2.9,"Harris & Harris 2.9",Chicago,IL,"Investment Banking & Asset Management",Finance,"501 to 1000 employees","$50 to $100 million (USD)",1968,"Company - Private",-1,0,0,1,0,0,Mid-Level
1574,"Information Security Analyst","Business Analyst",45000,100000,72500,55000,3.7,"DHPC Technologies 3.7","San Antonio",TX,"Computer Hardware & Software","Information Technology","51 to 200 employees","$25 to $50 million (USD)",1992,"Company - Private",-1,0,0,0,0,0,Mid-Level
1575,"Computer System Analyst (1 position available; full-time)","Business Analyst",40000,77000,58500,37000,3.8,"Intellisys Technology 3.8","Oak Brook",IL,"IT Services","Information Technology","1 to 50 employees","$1 to $5 million (USD)",1998,"Company - Private",-1,0,0,0,0,0,Mid-Level
1576,"Cisco VOIP Analyst","Business Analyst",45000,100000,72500,55000,3.7,"Huntington Ingalls Industries 3.7","San Antonio",TX,"Aerospace & Defense","Aerospace & Defense","10000+ employees","$5 to $10 billion (USD)",2011,"Company - Public",-1,0,0,1,0,0,Mid-Level
1577,"ERP Technical Business Analyst","Business Analyst",40000,77000,58500,37000,4.4,"Unicorn Technologies 4.4",Chicago,IL,"Education Training Services",Education,"1 to 50 employees","$1 to $5 million (USD)",-1,"Company - Private",-1,1,0,0,0,0,Mid-Level
1578,"Accounts Receivable Analyst I","Business Analyst",45000,100000,72500,55000,3.1,"Southwest Business Corporation 3.1","San Antonio",TX,"Investment Banking & Asset Management",Finance,"1001 to 5000 employees","$100 to $500 million (USD)",-1,"Company - Private",-1,0,0,1,0,0,Mid-Level
1579,"Application System Programmer/Analyst-Intermediate","Business Analyst",45000,100000,72500,55000,3.5,"UT Health San Antonio 3.5","San Antonio",TX,"Health Care Services & Hospitals","Health Care","5001 to 10000 employees","$500 million to $1 billion (USD)",1959,"College / University",-1,0,0,0,0,0,Mid-Level
1580,"Federal - Microsoft Dynamics & Power Platform Developer Analyst","Business Analyst",45000,100000,72500,55000,3.9,"Accenture 3.9","San Antonio",TX,Consulting,"Business Services","10000+ employees","$10+ billion (USD)",1989,"Company - Public",-1,0,0,0,0,0,Mid-Level
1581,"Senior Analyst, Data & Analytics","Business Analyst",40000,77000,58500,37000,3.0,"Kraft Heinz Company 3.0",Chicago,IL,"Food & Beverage Manufacturing",Manufacturing,"10000+ employees","$10+ billion (USD)",2015,"Company - Public",-1,1,1,0,1,0,Senior
1582,"Business Analyst - Occupier Products","Business Analyst",40000,77000,58500,37000,3.7,"JLL 3.7",Chicago,IL,"Real Estate","Real Estate","10000+ employees","$5 to $10 billion (USD)",-1,"Company - Public",-1,0,0,1,0,0,Mid-Level
1583,"National Support Desk Analyst - Financial Management Services","Business Analyst",45000,100000,72500,55000,3.7,"Huntington Ingalls Industries 3.7","San Antonio",TX,"Aerospace & Defense","Aerospace & Defense","10000+ employees","$5 to $10 billion (USD)",2011,"Company - Public",-1,1,0,1,0,0,Mid-Level
1584,"Exiger Federal Solutions - Senior Analyst","Business Analyst",45000,100000,72500,55000,3.3,"Exiger 3.3","San Antonio",TX,Consulting,"Business Services","501 to 1000 employees","Unknown / Non-Applicable",2013,"Company - Private",-1,0,0,1,0,0,Senior
1585,"Emergency Management Modeling and Simulation Analyst with Security Clearance","Business Analyst",45000,100000,72500,55000,3.4,"Dawson 3.4","San Antonio",TX,"Staffing & Outsourcing","Business Services","51 to 200 employees","$50 to $100 million (USD)",1946,"Company - Private",-1,0,0,0,0,0,Mid-Level
1586,"Desktop Support Analyst","Business Analyst",45000,100000,72500,55000,3.5,"Robert Half 3.5","San Antonio",TX,"Staffing & Outsourcing","Business Services","10000+ employees","$2 to $5 billion (USD)",1948,"Company - Public",-1,0,0,0,0,0,Mid-Level
1587,"Data Analytics Senior Consultant with Public Trust","Business Analyst",45000,100000,72500,55000,3.9,"Deloitte 3.9","San Antonio",TX,Accounting,"Accounting & Legal","10000+ employees","$10+ billion (USD)",1850,"Company - Private",-1,0,0,1,1,0,Senior
1588,"Senior Data Science Analyst","Business Analyst",45000,100000,72500,55000,2.9,"PETCO 2.9","San Antonio",TX,"Pet & Pet Supplies Stores",Retail,"10000+ employees","$2 to $5 billion (USD)",1965,"Company - Private",-1,1,1,0,0,0,Senior
1589,"OPSEC Open Source Research Analyst","Business Analyst",45000,100000,72500,55000,NULL,"UIC Government Services and the Bowhead Family of Companies","San Antonio",TX,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,Mid-Level
